epoch,train_acc,train_loss,test_acc,test_loss
1,10.144,2.370251713256836,10.0,2.37364490814209
2,12.106,2.677621417541504,13.44,2.64677883644104
3,25.18,2.1747674179077148,32.12,1.842724359703064
4,29.516,2.2924540475463866,37.48,1.8068590038299561
5,30.472,2.302025816345215,38.91,1.767870672225952
6,32.17,2.51868739074707,41.24,1.8597753789901734
7,33.064,2.484384079284668,41.51,1.8474452465057374
8,34.56,2.5587841094970702,44.12,1.8061089147567748
9,35.018,2.66944827331543,43.86,1.9312163932800293
10,36.336,2.6682221466064453,45.98,1.845950249671936
11,36.67,2.7794543920898436,45.95,1.9432674016952514
12,37.72,2.7692747082519533,47.27,1.883734520149231
13,39.13,2.685862466430664,48.83,1.808636868095398
14,39.502,2.6916608850097656,50.12,1.7762248628616333
15,40.476,2.6687191314697265,50.73,1.7561387546539307
16,41.378,2.6701061560058594,52.28,1.7360407516479492
17,41.94,2.736152992553711,52.87,1.740685517501831
18,42.33,2.7768694326782226,53.3,1.760865965652466
19,43.402,2.7029802877807616,54.03,1.7154947744369506
20,44.15,2.7408924407958986,55.14,1.696631359100342
21,43.492,2.8518515609741213,54.52,1.7928645948410034
22,45.148,2.7786471578979492,56.24,1.6911050077438354
23,45.846,2.7271942404174805,57.24,1.6459951732635498
24,46.35,2.794979547729492,58.04,1.6521196674346923
25,46.864,2.831022045288086,58.26,1.6493071048736572
26,47.924,2.806091805114746,59.88,1.5901785221099853
27,48.166,2.8498457955932617,60.61,1.5963022304534913
28,48.674,2.85473325592041,61.09,1.5811645236968994
29,49.846,2.723465610961914,62.51,1.4667570098876954
30,50.032,2.7741271408081056,62.65,1.4964840913772584
31,50.7,2.8320135681152343,63.34,1.5147851026535035
32,51.284,2.770497395019531,64.43,1.4326355184555053
33,51.604,2.8966226950073244,64.58,1.4900315683364869
34,51.918,2.8821743295288087,65.02,1.469221166419983
35,52.384,2.830968583679199,65.28,1.4236733201980591
36,52.592,2.955533075866699,66.08,1.4901004693984985
37,53.158,2.871238689880371,66.25,1.4271672225952148
38,53.724,2.9100969387817384,66.94,1.4521541103363038
39,54.144,2.860544649810791,67.18,1.4154143363952636
40,54.262,2.9039990267944336,67.67,1.3977131744384765
41,54.672,2.966020308227539,68.74,1.3876381357192993
42,54.942,2.929854567871094,67.76,1.4118895719528197
43,55.362,2.900901785736084,68.41,1.4200867238998414
44,55.654,2.8969607313537598,68.29,1.3758872886657716
45,55.914,3.00378743850708,69.1,1.4096711296081543
46,56.042,2.9894117916870115,69.66,1.4192607879638672
47,56.43,2.9627624208068846,69.87,1.384377047729492
48,56.81,2.9559374995422365,70.12,1.4164873743057251
49,57.038,2.9749828337097166,70.13,1.3727260707855224
50,57.36,2.9628687028503418,71.11,1.3493801860809327
51,57.476,2.95913876663208,70.76,1.3938750465393066
52,57.36,2.987944838104248,70.68,1.3773831691741942
53,57.96,3.054916510772705,71.26,1.3933409206390381
54,58.326,2.9890712881469725,71.95,1.349474334335327
55,58.536,2.981420633239746,71.7,1.3462081977844238
56,58.812,3.008484748840332,72.17,1.3235113452911378
57,59.052,3.0058923751831053,72.37,1.3363942630767822
58,59.238,3.0520208921813965,72.78,1.3209396951675414
59,59.144,3.0419337657165526,73.19,1.3284772842407226
60,59.314,3.060510389251709,73.12,1.333535538482666
61,59.666,3.008924818115234,72.94,1.3151728332519532
62,59.726,3.0368118074035646,73.46,1.3123268566131592
63,59.978,2.9842989480590822,73.56,1.3275674364089967
64,60.21,3.02254106262207,73.58,1.3165324615478515
65,60.334,3.0592362576293946,74.02,1.3179821186065674
66,60.422,3.1186548902893065,73.9,1.3486662973403931
67,60.806,3.125130560760498,74.31,1.3136865077972413
68,61.15,3.1265818101501464,74.87,1.3007770057678223
69,61.24,3.0762631365966797,74.38,1.3088836566925048
70,61.47,3.084935369720459,75.03,1.286448288345337
71,61.276,3.105814454193115,75.38,1.3015765312194825
72,61.788,3.081921060028076,75.31,1.2871703088760376
73,62.05,3.1346372062683105,75.64,1.288665867805481
74,62.066,3.0934443359375,75.78,1.2741696353912353
75,62.254,3.085668539428711,76.19,1.2487132089614867
76,62.43,3.1216412802124025,76.63,1.2291921644210815
77,62.402,3.0792957061767576,76.02,1.28034807472229
78,62.626,3.055821223449707,76.8,1.2121598335266113
79,62.99,3.1142283000183104,76.66,1.2363522312164306
80,63.114,3.1386120025634767,76.9,1.2248288496017457
81,63.258,3.1034358041381838,77.29,1.2069523033142089
82,63.1,3.077200935821533,76.39,1.272304683303833
83,63.626,3.1116413278198243,76.79,1.21413148021698
84,63.566,3.15557182434082,77.25,1.2057523197174072
85,63.666,3.1196857405090332,77.66,1.181853610229492
86,63.9,3.090712678222656,77.66,1.1995369134902953
87,63.988,3.0835014883422853,77.88,1.2010717035293579
88,63.984,3.1704093789672854,77.71,1.219897374534607
89,64.164,3.149892970428467,78.01,1.2023750279426575
90,64.364,3.188801697769165,78.27,1.1963772033691407
91,64.328,3.1233720053100584,78.37,1.20673364982605
92,64.966,3.184381898956299,78.68,1.1918684190750122
93,64.546,3.1770151403808593,78.43,1.2057278993606568
94,65.202,3.1478404634094237,79.45,1.1588110664367677
95,65.248,3.1904603941345213,78.57,1.1716856466293335
96,65.33,3.1964976127624514,78.46,1.2052899982452392
97,65.522,3.1296948268127442,79.52,1.130846667289734
98,65.146,3.2036661373901367,78.91,1.1893198179244995
99,65.342,3.2202956382751466,79.16,1.2177271276474
100,65.558,3.233833728942871,79.22,1.1938902465820314
101,65.19,3.5504821810913088,78.98,1.3357591796875
102,64.606,3.599580865936279,78.56,1.4015401723861693
103,64.468,3.7078780964660645,78.25,1.4686534547805785
104,64.394,3.7876347663879395,78.1,1.5016068344116211
105,64.466,3.815650180206299,78.11,1.5118283096313476
106,64.266,3.826568676300049,78.18,1.5359161298751831
107,64.302,3.8389711599731444,78.07,1.5481315107345581
108,64.282,3.9051672889709472,77.98,1.573059992980957
109,64.184,3.8931402558898927,78.47,1.5494467742919922
110,64.088,3.9246483586120604,78.25,1.6360565280914308
111,64.038,3.951328684539795,78.13,1.5811128238677978
112,64.25,3.8794156523132326,78.63,1.5418430122375488
